Date,Close
4/24/2017,11.43
4/25/2017,11.48
4/26/2017,11.6
4/27/2017,11.47
4/28/2017,11.47
5/1/2017,11.42
5/2/2017,10.92
5/3/2017,11.07
5/4/2017,11
5/5/2017,11.14
5/8/2017,11.13
5/9/2017,11.16
5/10/2017,11.04
5/11/2017,11.01
5/12/2017,10.92
5/15/2017,10.94
5/16/2017,10.94
5/17/2017,10.76
5/18/2017,10.79
5/19/2017,10.87
5/22/2017,11.1
5/23/2017,11.05
5/24/2017,10.96
5/25/2017,10.86
5/26/2017,10.93
5/30/2017,11.08
5/31/2017,11.12
6/1/2017,11.41
6/2/2017,11.35
6/5/2017,11.25
6/6/2017,11.12
6/7/2017,11.07
6/8/2017,11.1
6/9/2017,11.13
6/12/2017,11.28
6/13/2017,11.27
6/14/2017,11.22
6/15/2017,11.24
6/16/2017,11.22
6/19/2017,11.24
6/20/2017,11.12
6/21/2017,11.04
6/22/2017,11.13
6/23/2017,11.04
6/26/2017,11.18
6/27/2017,11.08
6/28/2017,11.09
6/29/2017,11.17
6/30/2017,11.19
7/3/2017,11.56
7/5/2017,11.3
7/6/2017,11.18
7/7/2017,11.26
7/10/2017,11.34
7/11/2017,11.38
7/12/2017,11.47
7/13/2017,11.6
7/14/2017,11.68
7/17/2017,11.74
7/18/2017,11.75
7/19/2017,11.83
7/20/2017,11.7
7/21/2017,11.53
7/24/2017,11.29
7/25/2017,11.27
7/26/2017,11.06
7/27/2017,11.18
7/28/2017,11.17
7/31/2017,11.22
8/1/2017,10.95
8/2/2017,11
8/3/2017,10.93
8/4/2017,10.95
8/7/2017,10.92
8/8/2017,10.89
8/9/2017,10.92
8/10/2017,10.77
8/11/2017,10.77
8/14/2017,10.91
8/15/2017,10.84
8/16/2017,10.8
8/17/2017,10.64
8/18/2017,10.56
8/21/2017,10.57
8/22/2017,10.65
8/23/2017,10.71
8/24/2017,10.71
8/25/2017,10.82
8/28/2017,10.79
8/29/2017,10.84
8/30/2017,10.94
8/31/2017,11.03
9/1/2017,11.35
9/5/2017,11.36
9/6/2017,11.5
9/7/2017,11.4
9/8/2017,11.36
9/11/2017,11.41
9/12/2017,11.59
9/13/2017,11.62
9/14/2017,11.56
9/15/2017,11.62
9/18/2017,11.63
9/19/2017,11.72
9/20/2017,11.72
9/21/2017,11.72
9/22/2017,11.84
9/25/2017,11.94
9/26/2017,11.93
9/27/2017,11.95
9/28/2017,11.96
9/29/2017,11.97
10/2/2017,12.09
10/3/2017,12.34
10/4/2017,12.3
10/5/2017,12.25
10/6/2017,12.31
10/9/2017,12.34
10/10/2017,12.39
10/11/2017,12.38
10/12/2017,12.12
10/13/2017,12.05
10/16/2017,12.12
10/17/2017,12.27
10/18/2017,12.19
10/19/2017,12.23
10/20/2017,12.1
10/23/2017,12.04
10/24/2017,12.19
10/25/2017,12.04
10/26/2017,12.27
10/27/2017,12.06
10/30/2017,12.1
10/31/2017,12.27
11/1/2017,12.35
11/2/2017,12.42
11/3/2017,12.36
11/6/2017,12.33
11/7/2017,12.16
11/8/2017,12.06
11/9/2017,12.04
11/10/2017,12.01
11/13/2017,12.16
11/14/2017,12.02
11/15/2017,12
11/16/2017,12.04
11/17/2017,12.01
11/20/2017,12.13
11/21/2017,12.12
11/22/2017,12.07
11/24/2017,12.1
11/27/2017,12.11
11/28/2017,12.21
11/29/2017,12.56
11/30/2017,12.52
12/1/2017,12.58
12/4/2017,12.63
12/5/2017,12.43
12/6/2017,12.38
12/7/2017,12.53
12/8/2017,12.61
12/11/2017,12.58
12/12/2017,12.6
12/13/2017,12.63
12/14/2017,12.46
12/15/2017,12.58
12/18/2017,12.66
12/19/2017,12.69
12/20/2017,12.72
12/21/2017,12.63
12/22/2017,12.58
12/26/2017,12.6
12/27/2017,12.5
12/28/2017,12.58
12/29/2017,12.49
1/2/2018,12.66
1/3/2018,12.76
1/4/2018,12.98
1/5/2018,13.2
1/8/2018,13.15
1/9/2018,13.08
1/10/2018,13.03
1/11/2018,13.16
1/12/2018,13.23
1/16/2018,13.1
1/17/2018,12.18
1/18/2018,12.07
1/19/2018,12
1/22/2018,12.02
1/23/2018,11.96
1/24/2018,12.05
1/25/2018,11.57
1/26/2018,11.65
1/29/2018,11.12
1/30/2018,11.06
1/31/2018,10.97
2/1/2018,10.92
2/2/2018,10.71
2/5/2018,10.24
2/6/2018,10.76
2/7/2018,10.76
2/8/2018,10.43
2/9/2018,10.53
2/12/2018,10.7
2/13/2018,10.59
2/14/2018,10.74
2/15/2018,10.76
2/16/2018,10.61
2/20/2018,10.63
2/21/2018,10.6
2/22/2018,10.63
2/23/2018,10.7
2/26/2018,10.89
2/27/2018,10.61
2/28/2018,10.61
3/1/2018,10.29
3/2/2018,10.4
3/5/2018,10.58
3/6/2018,10.63
3/7/2018,10.63
3/8/2018,10.61
3/9/2018,10.73
3/12/2018,10.81
3/13/2018,10.78
3/14/2018,11.02
3/15/2018,11.07
3/16/2018,11.15
3/19/2018,11.01
3/20/2018,10.99
3/21/2018,11.1
3/22/2018,10.75
3/23/2018,10.56
3/26/2018,10.83
3/27/2018,10.83
3/28/2018,10.86
3/29/2018,11.08
4/2/2018,10.86
4/3/2018,11.15
4/4/2018,11.33
